name,year,type,value,unit,full_name,text
hvdc_submarine_cable_lifetime,2040,f,40.0,years,HVDC submarine cable lifetime,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .
hvdc_submarine_cable_cost,2050,f,520.2,EUR/MW/km,HVDC submarine cable capital cost (overnight),Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .
hvdc_submarine_cable_fom,2050,f,0.35,percent of overnight cost per year,HVDC submarine cable fixed operation and maintenance costs,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .
hvdc_submarine_cable_lifetime,2050,f,40.0,years,HVDC submarine cable lifetime,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .
hvdc_inverter_pair_discount,,f,5,percent,HVDC AC-DC inverter pair discount rate,
hvdc_inverter_pair_cost,2020,f,179263.9,EUR/MW,HVDC AC-DC inverter pair capital cost (overnight),"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_fom,2020,f,2.0,percent of overnight cost per year,HVDC AC-DC inverter pair fixed operation and maintenance costs,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_lifetime,2020,f,40.0,years,HVDC AC-DC inverter pair lifetime,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_cost,2030,f,179263.9,EUR/MW,HVDC AC-DC inverter pair capital cost (overnight),"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_fom,2030,f,2.0,percent of overnight cost per year,HVDC AC-DC inverter pair fixed operation and maintenance costs,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_lifetime,2030,f,40.0,years,HVDC AC-DC inverter pair lifetime,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_cost,2040,f,179263.9,EUR/MW,HVDC AC-DC inverter pair capital cost (overnight),"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_fom,2040,f,2.0,percent of overnight cost per year,HVDC AC-DC inverter pair fixed operation and maintenance costs,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_lifetime,2040,f,40.0,years,HVDC AC-DC inverter pair lifetime,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_cost,2050,f,179263.9,EUR/MW,HVDC AC-DC inverter pair capital cost (overnight),"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_fom,2050,f,2.0,percent of overnight cost per year,HVDC AC-DC inverter pair fixed operation and maintenance costs,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
hvdc_inverter_pair_lifetime,2050,f,40.0,years,HVDC AC-DC inverter pair lifetime,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 ."
battery_energy_cost,2020,f,256.1,EUR/kWh,Utility-scale battery energy capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_fom,2020,f,0,percent of overnight cost per year,Utility-scale battery energy fixed operation and maintenance costs,default
battery_energy_lifetime,2020,f,20.0,years,Utility-scale battery energy lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_cost,2030,f,156.8,EUR/kWh,Utility-scale battery energy capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_fom,2030,f,0,percent of overnight cost per year,Utility-scale battery energy fixed operation and maintenance costs,default
battery_energy_lifetime,2030,f,25.0,years,Utility-scale battery energy lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_cost,2040,f,103.8,EUR/kWh,Utility-scale battery energy capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_fom,2040,f,0,percent of overnight cost per year,Utility-scale battery energy fixed operation and maintenance costs,default
battery_energy_lifetime,2040,f,30.0,years,Utility-scale battery energy lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_cost,2050,f,82.8,EUR/kWh,Utility-scale battery energy capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_energy_fom,2050,f,0,percent of overnight cost per year,Utility-scale battery energy fixed operation and maintenance costs,default
battery_energy_lifetime,2050,f,30.0,years,Utility-scale battery energy lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_cost,2020,f,298.1,EUR/kW,Utility-scale battery converter power capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_fom,2020,f,0.2,percent of overnight cost per year,Utility-scale battery converter power fixed operation and maintenance costs,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_lifetime,2020,f,10.0,years,Utility-scale battery converter power lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx, Note K."
battery_power_cost,2030,f,176.7,EUR/kW,Utility-scale battery converter power capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_fom,2030,f,0.34,percent of overnight cost per year,Utility-scale battery converter power fixed operation and maintenance costs,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_lifetime,2030,f,10.0,years,Utility-scale battery converter power lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx, Note K."
battery_power_cost,2040,f,110.4,EUR/kW,Utility-scale battery converter power capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_fom,2040,f,0.54,percent of overnight cost per year,Utility-scale battery converter power fixed operation and maintenance costs,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_lifetime,2040,f,10.0,years,Utility-scale battery converter power lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx, Note K."
battery_power_cost,2050,f,66.2,EUR/kW,Utility-scale battery converter power capital cost (overnight),"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_fom,2050,f,0.9,percent of overnight cost per year,Utility-scale battery converter power fixed operation and maintenance costs,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
battery_power_lifetime,2050,f,10.0,years,Utility-scale battery converter power lifetime,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx, Note K."
dac_discount,,f,5,percent,Direct air capture discount rate,
dac_cost,2020,f,7728565.6,EUR/(tCO2/h),Direct air capture capital cost (overnight),"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_fom,2020,f,4.95,percent of overnight cost per year,Direct air capture fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_lifetime,2020,f,20.0,years,Direct air capture lifetime,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_cost,2030,f,6624484.8,EUR/(tCO2/h),Direct air capture capital cost (overnight),"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_fom,2030,f,4.95,percent of overnight cost per year,Direct air capture fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_lifetime,2030,f,20.0,years,Direct air capture lifetime,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_cost,2040,f,5520404.0,EUR/(tCO2/h),Direct air capture capital cost (overnight),"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_fom,2040,f,4.95,percent of overnight cost per year,Direct air capture fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_lifetime,2040,f,20.0,years,Direct air capture lifetime,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_cost,2050,f,4416323.2,EUR/(tCO2/h),Direct air capture capital cost (overnight),"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_fom,2050,f,4.95,percent of overnight cost per year,Direct air capture fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
dac_lifetime,2050,f,20.0,years,Direct air capture lifetime,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx"
heat_pump_discount,,f,5,percent,Industrial heat pump up to 125 C discount rate,
heat_pump_cost,2020,f,961.9,EUR/kW,Industrial heat pump up to 125 C capital cost (overnight),"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_fom,2020,f,0.11,percent of overnight cost per year,Industrial heat pump up to 125 C fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_lifetime,2020,f,20.0,years,Industrial heat pump up to 125 C lifetime,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_cost,2030,f,859.9,EUR/kW,Industrial heat pump up to 125 C capital cost (overnight),"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_fom,2030,f,0.11,percent of overnight cost per year,Industrial heat pump up to 125 C fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_lifetime,2030,f,20.0,years,Industrial heat pump up to 125 C lifetime,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_cost,2040,f,806.0,EUR/kW,Industrial heat pump up to 125 C capital cost (overnight),"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_fom,2040,f,0.11,percent of overnight cost per year,Industrial heat pump up to 125 C fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_lifetime,2040,f,20.0,years,Industrial heat pump up to 125 C lifetime,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_cost,2050,f,772.9,EUR/kW,Industrial heat pump up to 125 C capital cost (overnight),"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_fom,2050,f,0.1,percent of overnight cost per year,Industrial heat pump up to 125 C fixed operation and maintenance costs,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
heat_pump_lifetime,2050,f,20.0,years,Industrial heat pump up to 125 C lifetime,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx"
liquid_carbonaceous_storage_discount,,f,5,percent,Liquid carbonaceous fuel storage tank discount rate,
liquid_carbonaceous_storage_cost,2020,f,187.5,EUR/m^3,Liquid carbonaceous fuel storage tank capital cost (overnight),"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F ."
liquid_carbonaceous_storage_fom,2020,f,6.25,percent of overnight cost per year,Liquid carbonaceous fuel storage tank fixed operation and maintenance costs,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 ."
liquid_carbonaceous_storage_lifetime,2020,f,30.0,years,Liquid carbonaceous fuel storage tank lifetime,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11."
liquid_carbonaceous_storage_cost,2030,f,187.5,EUR/m^3,Liquid carbonaceous fuel storage tank capital cost (overnight),"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F ."
liquid_carbonaceous_storage_fom,2030,f,6.25,percent of overnight cost per year,Liquid carbonaceous fuel storage tank fixed operation and maintenance costs,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 ."
liquid_carbonaceous_storage_lifetime,2030,f,30.0,years,Liquid carbonaceous fuel storage tank lifetime,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11."
liquid_carbonaceous_storage_cost,2040,f,187.5,EUR/m^3,Liquid carbonaceous fuel storage tank capital cost (overnight),"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F ."
liquid_carbonaceous_storage_fom,2040,f,6.25,percent of overnight cost per year,Liquid carbonaceous fuel storage tank fixed operation and maintenance costs,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 ."
liquid_carbonaceous_storage_lifetime,2040,f,30.0,years,Liquid carbonaceous fuel storage tank lifetime,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11."
liquid_carbonaceous_storage_cost,2050,f,187.5,EUR/m^3,Liquid carbonaceous fuel storage tank capital cost (overnight),"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F ."
liquid_carbonaceous_storage_fom,2050,f,6.25,percent of overnight cost per year,Liquid carbonaceous fuel storage tank fixed operation and maintenance costs,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 ."
liquid_carbonaceous_storage_lifetime,2050,f,30.0,years,Liquid carbonaceous fuel storage tank lifetime,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11."
air_separation_unit_discount,,f,5,percent,Air separation unit for nitrogen discount rate,
air_separation_unit_cost,2020,f,984485.8,EUR/t_N2/h,Air separation unit for nitrogen capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_fom,2020,f,3.0,percent of overnight cost per year,Air separation unit for nitrogen fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_lifetime,2020,f,30.0,years,Air separation unit for nitrogen lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_cost,2030,f,805213.0,EUR/t_N2/h,Air separation unit for nitrogen capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_fom,2030,f,3.0,percent of overnight cost per year,Air separation unit for nitrogen fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_lifetime,2030,f,30.0,years,Air separation unit for nitrogen lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_cost,2040,f,658585.3,EUR/t_N2/h,Air separation unit for nitrogen capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_fom,2040,f,3.0,percent of overnight cost per year,Air separation unit for nitrogen fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_lifetime,2040,f,30.0,years,Air separation unit for nitrogen lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_cost,2050,f,504904.7,EUR/t_N2/h,Air separation unit for nitrogen capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_fom,2050,f,3.0,percent of overnight cost per year,Air separation unit for nitrogen fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
air_separation_unit_lifetime,2050,f,30.0,years,Air separation unit for nitrogen lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_discount,,f,5,percent,Haber-Bosch ammonia synthesis discount rate,
haber_bosch_cost,2020,f,1751.4,EUR/kW_NH3,Haber-Bosch ammonia synthesis capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_fom,2020,f,3.0,percent of overnight cost per year,Haber-Bosch ammonia synthesis fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_lifetime,2020,f,30.0,years,Haber-Bosch ammonia synthesis lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_cost,2030,f,1432.5,EUR/kW_NH3,Haber-Bosch ammonia synthesis capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_fom,2030,f,3.0,percent of overnight cost per year,Haber-Bosch ammonia synthesis fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_lifetime,2030,f,30.0,years,Haber-Bosch ammonia synthesis lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_cost,2040,f,1171.6,EUR/kW_NH3,Haber-Bosch ammonia synthesis capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_fom,2040,f,3.0,percent of overnight cost per year,Haber-Bosch ammonia synthesis fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_lifetime,2040,f,30.0,years,Haber-Bosch ammonia synthesis lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_cost,2050,f,898.2,EUR/kW_NH3,Haber-Bosch ammonia synthesis capital cost (overnight),"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_fom,2050,f,3.0,percent of overnight cost per year,Haber-Bosch ammonia synthesis fixed operation and maintenance costs,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
haber_bosch_lifetime,2050,f,30.0,years,Haber-Bosch ammonia synthesis lifetime,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
ammonia_storage_discount,,f,5,percent,Liquid ammonia storage discount rate,
ammonia_storage_cost,2020,f,178.8,EUR/MWh_NH3,Liquid ammonia storage capital cost (overnight),"Calculated based on Morgan E. 2013: doi:10.7275/11KT-3F59 , Fig. 55, Fig 58."
ammonia_storage_fom,2020,f,2.0,percent of overnight cost per year,Liquid ammonia storage fixed operation and maintenance costs,"Guesstimate, based on H2 (l) storage tank."
ammonia_storage_lifetime,2020,f,20.0,years,Liquid ammonia storage lifetime,"Morgan E. 2013: doi:10.7275/11KT-3F59 , pg. 290"
ammonia_storage_cost,2030,f,178.8,EUR/MWh_NH3,Liquid ammonia storage capital cost (overnight),"Calculated based on Morgan E. 2013: doi:10.7275/11KT-3F59 , Fig. 55, Fig 58."
ammonia_storage_fom,2030,f,2.0,percent of overnight cost per year,Liquid ammonia storage fixed operation and maintenance costs,"Guesstimate, based on H2 (l) storage tank."
ammonia_storage_lifetime,2030,f,20.0,years,Liquid ammonia storage lifetime,"Morgan E. 2013: doi:10.7275/11KT-3F59 , pg. 290"
ammonia_storage_cost,2040,f,178.8,EUR/MWh_NH3,Liquid ammonia storage capital cost (overnight),"Calculated based on Morgan E. 2013: doi:10.7275/11KT-3F59 , Fig. 55, Fig 58."
ammonia_storage_fom,2040,f,2.0,percent of overnight cost per year,Liquid ammonia storage fixed operation and maintenance costs,"Guesstimate, based on H2 (l) storage tank."
ammonia_storage_lifetime,2040,f,20.0,years,Liquid ammonia storage lifetime,"Morgan E. 2013: doi:10.7275/11KT-3F59 , pg. 290"
ammonia_storage_cost,2050,f,178.8,EUR/MWh_NH3,Liquid ammonia storage capital cost (overnight),"Calculated based on Morgan E. 2013: doi:10.7275/11KT-3F59 , Fig. 55, Fig 58."
ammonia_storage_fom,2050,f,2.0,percent of overnight cost per year,Liquid ammonia storage fixed operation and maintenance costs,"Guesstimate, based on H2 (l) storage tank."
ammonia_storage_lifetime,2050,f,20.0,years,Liquid ammonia storage lifetime,"Morgan E. 2013: doi:10.7275/11KT-3F59 , pg. 290"
co2_storage_discount,,f,5,percent,CO2 storage tank discount rate,
co2_storage_cost,2020,f,2791.3,EUR/t_CO2,CO2 storage tank capital cost (overnight),"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, Table 3."
co2_storage_fom,2020,f,1.0,percent of overnight cost per year,CO2 storage tank fixed operation and maintenance costs,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 ."
co2_storage_lifetime,2020,f,25.0,years,CO2 storage tank lifetime,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 ."
co2_storage_cost,2030,f,2791.3,EUR/t_CO2,CO2 storage tank capital cost (overnight),"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, Table 3."
co2_storage_fom,2030,f,1.0,percent of overnight cost per year,CO2 storage tank fixed operation and maintenance costs,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 ."
co2_storage_lifetime,2030,f,25.0,years,CO2 storage tank lifetime,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 ."
co2_storage_cost,2040,f,2791.3,EUR/t_CO2,CO2 storage tank capital cost (overnight),"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, Table 3."
co2_storage_fom,2040,f,1.0,percent of overnight cost per year,CO2 storage tank fixed operation and maintenance costs,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 ."
co2_storage_lifetime,2040,f,25.0,years,CO2 storage tank lifetime,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 ."
co2_storage_cost,2050,f,2791.3,EUR/t_CO2,CO2 storage tank capital cost (overnight),"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, Table 3."
co2_storage_fom,2050,f,1.0,percent of overnight cost per year,CO2 storage tank fixed operation and maintenance costs,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 ."
